Date/Time,Cooling Load(kWh),Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh)
 06/01  01:00:00,0,28.10833333,25.82662296,0.020344481,2.983333333,0
 06/01  02:00:00,0,27.60833333,25.49285767,0.019993442,2.725,0
 06/01  03:00:00,0,27.05,25.18116004,0.019703,2.425,0
 06/01  04:00:00,0,26.50833333,24.85607053,0.019390022,2.125,0
 06/01  05:00:00,0,26.18333333,24.59922982,0.01910369,2,0
 06/01  06:00:00,0,26.50833333,24.75252344,0.019218447,1.825,0
 06/01  07:00:00,0,27.26666667,25.11791069,0.019504357,1.466666667,0
 06/01  08:00:00,487.7807011,28.00833333,25.39014674,0.019635447,1.125,428.4059186
 06/01  09:00:00,648.7266247,30.51666667,25.94519517,0.019537287,1,453.8599844
 06/01  10:00:00,641.6614242,31.69166667,26.22285064,0.019525941,1,446.5291817
 06/01  11:00:00,635.9145864,30.99166667,26.2820484,0.019905408,1,393.0498269
 06/01  12:00:00,638.2530019,30.99166667,26.26849789,0.019885334,1,382.8231811
 06/01  13:00:00,599.7479389,31.43333333,26.25389376,0.019694099,1,364.2708892
 06/01  14:00:00,667.1984403,31.89166667,26.20950959,0.019430581,1,381.2749672
 06/01  15:00:00,672.5963708,31.98333333,26.06735057,0.019156142,1,382.2434289
 06/01  16:00:00,673.0849108,31.78333333,25.99397822,0.019122567,1,381.423155
 06/01  17:00:00,677.3813272,31.58333333,25.99358769,0.019206879,1,383.2698906
 06/01  18:00:00,577.5367844,30.975,26.02310709,0.019517002,1.408333333,350.8577506
 06/01  19:00:00,441.5931139,30.13333333,26.1797832,0.020136632,2.05,309.7572047
 06/01  20:00:00,425.1516558,29.275,26.23287171,0.020573536,2.708333333,306.3481753
 06/01  21:00:00,323.69677,28.78333333,26.17394434,0.020670524,2.708333333,274.8856126
 06/01  22:00:00,0,28.64166667,26.18790035,0.020755575,2.208333333,0
 06/01  23:00:00,0,28.48333333,26.18419484,0.020816717,1.708333333,0
 06/01  24:00:00,0,28.28333333,26.1388377,0.020822567,1.208333333,0
 06/02  01:00:00,0,28.14166667,26.14748695,0.020898309,0.708333333,0
 06/02  02:00:00,0,27.98333333,26.13839591,0.020950052,0.208333333,0
 06/02  03:00:00,0,27.66666667,26.05646317,0.020941954,0,0
 06/02  04:00:00,0,27.26666667,25.8661067,0.020781507,0,0
 06/02  05:00:00,0,26.86666667,25.69332037,0.020653584,0,0
 06/02  06:00:00,0,26.99166667,25.68985278,0.020594166,0,0
 06/02  07:00:00,0,27.55,25.81450881,0.020570876,0,0
 06/02  08:00:00,490.3263128,28.09166667,25.99120888,0.020646416,0,422.2888553
 06/02  09:00:00,647.4648453,28.88333333,26.10364919,0.02050461,0,447.7890903
 06/02  10:00:00,643.9295694,29.825,26.05635516,0.020020291,0,452.3862525
 06/02  11:00:00,639.9132803,30.78333333,26.04928604,0.019599717,0,394.3624983
 06/02  12:00:00,627.3749339,31.31666667,26.27931068,0.019775681,0.408333333,379.1368786
 06/02  13:00:00,585.7141414,31.45833333,26.57791315,0.020257226,1.05,365.4672969
 06/02  14:00:00,638.7318775,31.61666667,26.79152754,0.020595499,1.708333333,383.5458503
 06/02  15:00:00,648.1233933,31.7,26.66550747,0.020343563,1.825,386.81909
 06/02  16:00:00,671.6648986,31.7,26.21388184,0.01955619,1.466666667,387.2574597
 06/02  17:00:00,681.1744258,31.7,25.78470227,0.018818068,1.125,382.7911942
 06/02  18:00:00,565.1461917,31.23333333,25.73656293,0.018933023,0.825,342.9922381
 06/02  19:00:00,418.4458281,30.43333333,25.86808543,0.019487391,0.466666667,298.6127347
 06/02  20:00:00,399.4742231,29.63333333,25.94443279,0.019938436,0.125,293.6036417
 06/02  21:00:00,298.6065878,28.775,25.64987742,0.019799575,0,261.5335092
 06/02  22:00:00,0,27.93333333,25.15822133,0.019330587,0,0
 06/02  23:00:00,0,27.075,24.72016718,0.018964861,0,0
 06/02  24:00:00,0,26.23333333,24.25702782,0.0185644,0,0
 06/03  01:00:00,0,25.375,23.70486182,0.018043775,0,0
 06/03  02:00:00,0,24.53333333,23.15603207,0.017540236,0,0
 06/03  03:00:00,0,24.14166667,22.95908536,0.017412294,0.175,0
 06/03  04:00:00,0,24.04166667,22.91497445,0.017394538,0.533333333,0
 06/03  05:00:00,0,23.94166667,22.8174786,0.017287459,0.875,0
 06/03  06:00:00,0,24.48333333,22.88729422,0.017154301,0.825,0
 06/03  07:00:00,0,25.425,23.13984091,0.017136943,0.466666667,0
 06/03  08:00:00,458.7676861,26.38333333,23.39707147,0.01712011,0.125,347.9904828
 06/03  09:00:00,579.9504372,27.61666667,24.06612353,0.017651529,0.408333333,406.5916003
 06/03  10:00:00,598.8870897,28.95833333,25.08668133,0.018755957,1.05,380.9357444
