Date/Time,Cooling Load(kWh£©,Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh£©
 01/01  01:00:00,0,14.175,13.26707535,0.009107335,0.891666667,0
 01/01  02:00:00,0,13.33333333,12.654118,0.008823493,0.658333333,0
 01/01  03:00:00,0,12.825,12.27344341,0.008648136,0.758333333,0
 01/01  04:00:00,0,12.46666667,11.92120619,0.008449467,0.858333333,0
 01/01  05:00:00,0,12.125,11.58538748,0.008262529,0.958333333,0
 01/01  06:00:00,0,12.40833333,11.86392566,0.008415733,1.175,0
 01/01  07:00:00,0,13.05,12.49453187,0.008778634,1.533333333,0
 01/01  08:00:00,20.99917423,13.70833333,13.14155524,0.009164304,1.875,176.3097866
 01/01  09:00:00,232.3904779,15.34166667,13.96603852,0.009351864,2.583333333,186.6809505
 01/01  10:00:00,315.9566194,17.7,14.82221586,0.009302851,3.583333333,186.6809505
 01/01  11:00:00,354.2605133,20.04166667,15.66919513,0.009279258,4.583333333,188.7923324
 01/01  12:00:00,372.3948425,21.40833333,16.20276203,0.009329854,4.591666667,195.6231943
 01/01  13:00:00,337.4088456,22.05,16.46738912,0.009383196,3.95,192.4605748
 01/01  14:00:00,398.3704231,22.70833333,16.64477373,0.00933035,3.291666667,205.3520022
 01/01  15:00:00,419.8692453,22.59166667,16.61973725,0.009354125,3.175,208.1503346
 01/01  16:00:00,431.0968272,21.95,16.42709779,0.00939412,3.533333333,207.1932363
 01/01  17:00:00,423.3563889,21.29166667,16.14417844,0.009338195,3.875,202.1470871
 01/01  18:00:00,311.9411414,20.41666667,15.81454463,0.009315316,3.591666667,187.3773381
 01/01  19:00:00,208.6795958,19.41666667,15.45194398,0.009313617,2.95,186.6809505
 01/01  20:00:00,198.9580613,18.41666667,15.11925802,0.009348844,2.291666667,186.6809505
 01/01  21:00:00,152.4536212,17.53333333,14.7648551,0.009318489,1.883333333,186.6809505
 01/01  22:00:00,0,16.675,14.43743728,0.009316241,1.741666667,0
 01/01  23:00:00,0,15.83333333,14.12206884,0.009324296,1.583333333,0
 01/01  24:00:00,0,15.03333333,13.83115427,0.009344725,1.383333333,0
 01/02  01:00:00,0,14.175,13.49349653,0.009343513,1.241666667,0
 01/02  02:00:00,0,13.33333333,13.1387443,0.009321622,1.083333333,0
 01/02  03:00:00,0,13,12.99999839,0.00931588,1.175,0
 01/02  04:00:00,0,13,12.99999839,0.00931588,1.533333333,0
 01/02  05:00:00,0,13,12.99999839,0.00931588,1.875,0
 01/02  06:00:00,0,13,12.99999839,0.00931588,2,0
 01/02  07:00:00,0,13,12.99999531,0.00931045,2,0
 01/02  08:00:00,18.3529001,13,12.99999902,0.009306574,2,179.7668412
 01/02  09:00:00,219.3721922,14.575,14.05974392,0.009773616,1.825,186.6809505
 01/02  10:00:00,286.7514653,17.21666667,15.8885987,0.010706122,1.466666667,186.6809505
 01/02  11:00:00,335.9372664,19.875,17.66821513,0.011710544,1.125,198.0352647
 01/02  12:00:00,363.3337014,21.58333333,18.3089726,0.011796285,1.583333333,211.3507602
 01/02  13:00:00,331.2020739,22.58333333,18.21248175,0.011271669,2.583333333,206.3687568
 01/02  14:00:00,386.1033914,23.58333333,18.16706071,0.010812019,3.583333333,218.5249655
 01/02  15:00:00,402.1492331,23.59166667,18.06439014,0.01068607,3.825,220.0852319
 01/02  16:00:00,402.4346775,22.95,17.86336922,0.010703612,3.466666667,216.6936841
 01/02  17:00:00,393.8964806,22.29166667,17.57177486,0.010619171,3.125,210.7782022
 01/02  18:00:00,295.1753956,21.24166667,17.22906883,0.010639543,2.591666667,189.2850814
 01/02  19:00:00,200.3679982,19.88333333,16.77040836,0.010648721,1.95,186.8694452
 01/02  20:00:00,193.0895465,18.54166667,16.31641795,0.010667363,1.291666667,186.6809505
 01/02  21:00:00,143.3353949,17.59166667,15.88480159,0.010562879,1,186.6809505
 01/02  22:00:00,0,16.95,15.42800809,0.010309547,1,0
 01/02  23:00:00,0,16.29166667,14.96573157,0.010065601,1,0
 01/02  24:00:00,0,15.59166667,14.4988094,0.009842479,1,0
 01/03  01:00:00,0,14.95,14.02058536,0.0095858,1,0
 01/03  02:00:00,0,14.29166667,13.59229892,0.009399175,1,0
 01/03  03:00:00,0,13.825,13.367384,0.009356055,1.175,0
 01/03  04:00:00,0,13.46666667,13.20201499,0.009337539,1.533333333,0
 01/03  05:00:00,0,13.125,13.04808765,0.009323193,1.875,0
 01/03  06:00:00,0,13.175,13.17499356,0.009428752,1.591666667,0
 01/03  07:00:00,0,13.53333333,13.53332725,0.009651336,0.95,0
 01/03  08:00:00,0,13.875,13.87499611,0.009871615,0.291666667,0
 01/03  09:00:00,0,15.575,14.86481668,0.010237521,0,0
 01/03  10:00:00,0,18.21666667,16.24596342,0.010700018,0,0
 01/03  11:00:00,0,20.875,17.58066362,0.011184379,0,0
 01/03  12:00:00,0,22.175,18.19585233,0.01140778,0.583333333,0
 01/03  13:00:00,0,22.53333333,18.29916086,0.011393447,1.583333333,0
 01/03  14:00:00,0,22.875,18.40520171,0.011392356,2.583333333,0
 01/03  15:00:00,0,22.825,18.38360735,0.011391487,2.591666667,0
 01/03  16:00:00,0,22.46666667,18.28339187,0.011422329,1.95,0
 01/03  17:00:00,0,22.125,18.17030954,0.011428352,1.291666667,0
 01/03  18:00:00,0,21.24166667,17.81147916,0.011343219,1.175,0
 01/03  19:00:00,0,19.88333333,17.33407576,0.011319453,1.533333333,0
 01/03  20:00:00,0,18.54166667,16.8917605,0.011339278,1.875,0
 01/03  21:00:00,0,17.70833333,16.48496693,0.01119977,1.883333333,0
 01/03  22:00:00,0,17.20833333,16.10953673,0.010970038,1.741666667,0
 01/03  23:00:00,0,16.70833333,15.73064869,0.010742389,1.583333333,0
 01/03  24:00:00,0,16.20833333,15.34852076,0.010510789,1.383333333,0
 01/04  01:00:00,0,15.70833333,14.962933,0.010283395,1.241666667,0
 01/04  02:00:00,0,15.20833333,14.57385583,0.010062736,1.083333333,0
 01/04  03:00:00,0,14.825,14.35364149,0.009981916,1,0
 01/04  04:00:00,0,14.46666667,14.19412964,0.009952375,1,0
 01/04  05:00:00,0,14.125,14.0458126,0.009930545,1,0
 01/04  06:00:00,0,14,13.99999388,0.009933337,1.175,0
 01/04  07:00:00,0,14,13.99999442,0.009927553,1.533333333,0
 01/04  08:00:00,0,14,13.99999445,0.009917651,1.875,0
 01/04  09:00:00,0,15.16666667,14.7031277,0.010192484,1.591666667,0
 01/04  10:00:00,0,17.16666667,15.82325576,0.010614505,0.95,0
 01/04  11:00:00,0,19.16666667,16.95608544,0.011104538,0.291666667,0
 01/04  12:00:00,0,20.40833333,17.53119719,0.011277706,0.408333333,0
 01/04  13:00:00,0,21.05,17.76264115,0.011300914,1.05,0
 01/04  14:00:00,0,21.70833333,18.02271979,0.011360532,1.708333333,0
 01/04  15:00:00,0,21.59166667,17.36192476,0.010600932,2.408333333,0
 01/04  16:00:00,0,20.95,16.20036479,0.009489049,3.05,0
 01/04  17:00:00,0,20.29166667,15.09097075,0.008507965,3.708333333,0
 01/04  18:00:00,0,18.83333333,13.85302584,0.007766122,3.825,0
 01/04  19:00:00,0,16.83333333,12.57183879,0.007257712,3.466666667,0
 01/04  20:00:00,0,14.83333333,11.27227388,0.006791035,3.125,0
 01/04  21:00:00,0,13.70833333,10.33079881,0.006356114,3.583333333,0
 01/04  22:00:00,0,13.20833333,9.619495714,0.005906918,4.583333333,0
 01/04  23:00:00,0,12.70833333,8.933443976,0.005491363,5.583333333,0
 01/04  24:00:00,0,12.20833333,8.296673463,0.005134158,6.583333333,0
 01/05  01:00:00,0,11.70833333,7.665394377,0.004796144,7.583333333,0
 01/05  02:00:00,0,11.20833333,7.040381366,0.004474366,8.583333333,0
 01/05  03:00:00,0,10.59166667,6.659681936,0.004410104,8.416666667,0
 01/05  04:00:00,0,9.95,6.482483046,0.004525896,7.416666667,0
 01/05  05:00:00,0,9.291666667,6.266452044,0.00461778,6.416666667,0
 01/05  06:00:00,0,9.408333333,6.415061688,0.004691491,5.591666667,0
 01/05  07:00:00,0,10.05,6.801169798,0.004747327,4.95,0
 01/05  08:00:00,6.514308131,10.70833333,7.190824133,0.004803272,4.291666667,0
 01/05  09:00:00,190.5678222,11.40833333,7.606153261,0.004864167,3.591666667,93.34047525
 01/05  10:00:00,236.8218014,12.05,7.958962536,0.004900612,2.95,186.6809505
 01/05  11:00:00,256.7015558,12.70833333,8.313153825,0.004937571,2.291666667,186.6809505
 01/05  12:00:00,276.0842971,13.58333333,8.898874005,0.005097869,1.591666667,186.6809505
 01/05  13:00:00,243.8544105,14.58333333,9.623069681,0.005345001,0.95,186.6809505
 01/05  14:00:00,297.7399136,15.58333333,10.33596786,0.005602553,0.291666667,186.6809505
 01/05  15:00:00,307.428675,16,10.90924431,0.00597661,0.175,186.6809505
 01/05  16:00:00,299.4448489,16,11.38238819,0.006429488,0.533333333,186.6809505
 01/05  17:00:00,293.87003,16,11.84806117,0.006883019,0.875,186.6809505
 01/05  18:00:00,219.3751648,15.825,12.08519577,0.007188634,1,186.6809505
 01/05  19:00:00,167.5903766,15.46666667,12.10216981,0.007352803,1,186.6809505
